scenario,year,region,demand_kt,growth_rate,industry_contribution,gdp_per_capita_contribution,population_contribution,transition_bonus,property_downturn_drag,substitution_drag,scenario_shock,raw_demand_growth,clip_adjustment
bull_case,2029,European Union,3628.0539272628193,0.02022862475029645,0.008828384007197347,0.004203386510807583,0.00019685423229152122,0.005,0.0,-0.002,0.004,0.02022862475029645,0.0
bull_case,2029,Rest of World,6987.401517062114,0.021213575982095126,0.010574360366901398,0.002466849897220302,0.0016723657179734273,0.004,0.0,-0.0015,0.004,0.021213575982095126,0.0
bull_case,2030,China,20706.710280984003,0.04206239612280551,0.02522271268160597,0.01610926968063777,0.00023041376056177397,0.006,-0.008,-0.0015,0.004,0.04206239612280551,0.0
bull_case,2030,United States,2165.690238867789,0.02074099111004208,0.007829886853602268,0.005153344329329901,0.0007577599271099089,0.005,0.0,-0.002,0.004,0.02074099111004208,0.0
bull_case,2030,European Union,3701.4444687312584,0.02022862475029645,0.008828384007197347,0.004203386510807583,0.00019685423229152122,0.005,0.0,-0.002,0.004,0.02022862475029645,0.0
bull_case,2030,Rest of World,7135.629290061717,0.021213575982095126,0.010574360366901398,0.002466849897220302,0.0016723657179734273,0.004,0.0,-0.0015,0.004,0.021213575982095126,0.0
bull_case,2031,China,21577.684131222923,0.04206239612280551,0.02522271268160597,0.01610926968063777,0.00023041376056177397,0.006,-0.008,-0.0015,0.004,0.04206239612280551,0.0
bull_case,2031,United States,2210.6088008592506,0.02074099111004208,0.007829886853602268,0.005153344329329901,0.0007577599271099089,0.005,0.0,-0.002,0.004,0.02074099111004208,0.0
bull_case,2031,European Union,3776.319599923284,0.02022862475029645,0.008828384007197347,0.004203386510807583,0.00019685423229152122,0.005,0.0,-0.002,0.004,0.02022862475029645,0.0
bull_case,2031,Rest of World,7287.0015041865045,0.021213575982095126,0.010574360366901398,0.002466849897220302,0.0016723657179734273,0.004,0.0,-0.0015,0.004,0.021213575982095126,0.0
bull_case,2032,China,22485.293228563194,0.04206239612280551,0.02522271268160597,0.01610926968063777,0.00023041376056177397,0.006,-0.008,-0.0015,0.004,0.04206239612280551,0.0
bull_case,2032,United States,2256.459018345653,0.02074099111004208,0.007829886853602268,0.005153344329329901,0.0007577599271099089,0.005,0.0,-0.002,0.004,0.02074099111004208,0.0
bull_case,2032,European Union,3852.7093520473218,0.02022862475029645,0.008828384007197347,0.004203386510807583,0.00019685423229152122,0.005,0.0,-0.002,0.004,0.02022862475029645,0.0
bull_case,2032,Rest of World,7441.584864277206,0.021213575982095126,0.010574360366901398,0.002466849897220302,0.0016723657179734273,0.004,0.0,-0.0015,0.004,0.021213575982095126,0.0
bull_case,2033,China,23431.078539280454,0.04206239612280551,0.02522271268160597,0.01610926968063777,0.00023041376056177397,0.006,-0.008,-0.0015,0.004,0.04206239612280551,0.0
bull_case,2033,United States,2303.2602147853345,0.02074099111004208,0.007829886853602268,0.005153344329329901,0.0007577599271099089,0.005,0.0,-0.002,0.004,0.02074099111004208,0.0
bull_case,2033,European Union,3930.644363801845,0.02022862475029645,0.008828384007197347,0.004203386510807583,0.00019685423229152122,0.005,0.0,-0.002,0.004,0.02022862475029645,0.0
bull_case,2033,Rest of World,7599.447490222759,0.021213575982095126,0.010574360366901398,0.002466849897220302,0.0016723657179734273,0.004,0.0,-0.0015,0.004,0.021213575982095126,0.0
bull_case,2034,China,24416.645846384235,0.04206239612280551,0.02522271268160597,0.01610926968063777,0.00023041376056177397,0.006,-0.008,-0.0015,0.004,0.04206239612280551,0.0
bull_case,2034,United States,2351.0321144243107,0.02074099111004208,0.007829886853602268,0.005153344329329901,0.0007577599271099089,0.005,0.0,-0.002,0.004,0.02074099111004208,0.0
bull_case,2034,European Union,4010.1558936640604,0.02022862475029645,0.008828384007197347,0.004203386510807583,0.00019685423229152122,0.005,0.0,-0.002,0.004,0.02022862475029645,0.0
bull_case,2034,Rest of World,7760.658946978541,0.021213575982095126,0.010574360366901398,0.002466849897220302,0.0016723657179734273,0.004,0.0,-0.0015,0.004,0.021213575982095126,0.0
bull_case,2035,China,25443.668475965103,0.04206239612280551,0.02522271268160597,0.01610926968063777,0.00023041376056177397,0.006,-0.008,-0.0015,0.004,0.04206239612280551,0.0
bull_case,2035,United States,2399.794850609009,0.02074099111004208,0.007829886853602268,0.005153344329329901,0.0007577599271099089,0.005,0.0,-0.002,0.004,0.02074099111004208,0.0
bull_case,2035,European Union,4091.275832427181,0.02022862475029645,0.008828384007197347,0.004203386510807583,0.00019685423229152122,0.005,0.0,-0.002,0.004,0.02022862475029645,0.0
bull_case,2035,Rest of World,7925.290275221397,0.021213575982095126,0.010574360366901398,0.002466849897220302,0.0016723657179734273,0.004,0.0,-0.0015,0.004,0.021213575982095126,0.0
