scenario,year,country,mine_supply_kt,share_2024
bear_case,2027,Australia,860.8683305951589,0.0353356890459364
bear_case,2027,Canada,484.2384359597769,0.01987632508833922
bear_case,2027,Chile,5703.252690192928,0.23409893992932862
bear_case,2027,China,1936.9537438391076,0.07950530035335689
bear_case,2027,Congo (Kinshasa),3551.0818637050306,0.14575971731448764
bear_case,2027,Germany,0.0,0.0
bear_case,2027,India,32.282562397318465,0.001325088339222615
bear_case,2027,Indonesia,1183.6939545683435,0.04858657243816254
bear_case,2027,Japan,0.0,0.0
bear_case,2027,Kazakhstan,796.303205800522,0.03268551236749117
bear_case,2027,Korea Republic,0.0,0.0
bear_case,2027,Mexico,753.259789270764,0.030918727915194347
bear_case,2027,Peru,2797.8220744342666,0.11484098939929328
bear_case,2027,Poland,441.19501943001893,0.018109540636042403
bear_case,2027,Russia,1000.7594343168722,0.04107773851590106
bear_case,2027,Zambia,731.7380810058851,0.030035335689045935
bear_case,2027,Other countries,2905.4306157586616,0.11925795053003534
bear_case,2028,United States,1219.3620356299473,0.04858657243816254
bear_case,2028,Australia,886.8087531854163,0.0353356890459364
bear_case,2028,Canada,498.8299236667966,0.01987632508833922
bear_case,2028,Chile,5875.107989853383,0.23409893992932862
bear_case,2028,China,1995.3196946671865,0.07950530035335689
bear_case,2028,Congo (Kinshasa),3658.086106889842,0.14575971731448764
bear_case,2028,Germany,0.0,0.0
bear_case,2028,India,33.25532824445311,0.001325088339222615
bear_case,2028,Indonesia,1219.3620356299473,0.04858657243816254
bear_case,2028,Japan,0.0,0.0
bear_case,2028,Kazakhstan,820.2980966965101,0.03268551236749117
bear_case,2028,Korea Republic,0.0,0.0
bear_case,2028,Mexico,775.9576590372393,0.030918727915194347
bear_case,2028,Peru,2882.1284478526027,0.11484098939929328
bear_case,2028,Poland,454.48948600752584,0.018109540636042403
bear_case,2028,Russia,1030.9151755780465,0.04107773851590106
bear_case,2028,Zambia,753.7874402076038,0.030035335689045935
bear_case,2028,Other countries,2992.97954200078,0.11925795053003534
bear_case,2029,United States,1247.9618656030805,0.04858657243816254
bear_case,2029,Australia,907.6086295295131,0.0353356890459364
bear_case,2029,Canada,510.5298541103511,0.01987632508833922
bear_case,2029,Chile,6012.907170633024,0.23409893992932862
bear_case,2029,China,2042.1194164414044,0.07950530035335689
bear_case,2029,Congo (Kinshasa),3743.8855968092416,0.14575971731448764
bear_case,2029,Germany,0.0,0.0
bear_case,2029,India,34.035323607356744,0.001325088339222615
bear_case,2029,Indonesia,1247.9618656030805,0.04858657243816254
bear_case,2029,Japan,0.0,0.0
bear_case,2029,Kazakhstan,839.5379823147997,0.03268551236749117
bear_case,2029,Korea Republic,0.0,0.0
bear_case,2029,Mexico,794.157550838324,0.030918727915194347
bear_case,2029,Peru,2949.7280459709177,0.11484098939929328
bear_case,2029,Poland,465.1494226338755,0.018109540636042403
bear_case,2029,Russia,1055.095031828059,0.04107773851590106
bear_case,2029,Zambia,771.4673351000861,0.030035335689045935
bear_case,2029,Other countries,3063.179124662107,0.11925795053003534
bear_case,2030,United States,1277.4604835036225,0.04858657243816254
bear_case,2030,Australia,929.0621698208165,0.0353356890459364
bear_case,2030,Canada,522.5974705242093,0.01987632508833922
bear_case,2030,Chile,6155.036875062909,0.23409893992932862
bear_case,2030,China,2090.389882096837,0.07950530035335689
bear_case,2030,Congo (Kinshasa),3832.381450510868,0.14575971731448764
bear_case,2030,Germany,0.0,0.0
bear_case,2030,India,34.83983136828062,0.001325088339222615
bear_case,2030,Indonesia,1277.4604835036225,0.04858657243816254
bear_case,2030,Japan,0.0,0.0
bear_case,2030,Kazakhstan,859.3825070842553,0.03268551236749117
bear_case,2030,Korea Republic,0.0,0.0
bear_case,2030,Mexico,812.9293985932144,0.030918727915194347
bear_case,2030,Peru,3019.4520519176535,0.11484098939929328
bear_case,2030,Poland,476.1443620331684,0.018109540636042403
bear_case,2030,Russia,1080.034772416699,0.04107773851590106
bear_case,2030,Zambia,789.7028443476939,0.030035335689045935
bear_case,2030,Other countries,3135.5848231452555,0.11925795053003534
bear_case,2031,United States,1301.9183481614127,0.04858657243816254
bear_case,2031,Australia,946.8497077537547,0.0353356890459364
bear_case,2031,Canada,532.602960611487,0.01987632508833922
bear_case,2031,Chile,6272.879313868625,0.23409893992932862
