scenario,year,region,demand_kt,growth_rate,industry_contribution,gdp_per_capita_contribution,population_contribution,transition_bonus,property_downturn_drag,substitution_drag,scenario_shock,raw_demand_growth,clip_adjustment
base_case,2027,United States,1984.619667969616,0.01202543694421944,0.0074248927060021515,0.005153344329329901,0.0009471999088873861,0.002,0.0,-0.0035,0.0,0.01202543694421944,0.0
base_case,2027,European Union,3395.107598316343,0.01132119775627292,0.008371743455100934,0.004203386510807583,0.0002460677903644015,0.002,0.0,-0.0035,0.0,0.01132119775627292,0.0
base_case,2027,Rest of World,6560.780609572443,0.014084717737438414,0.010027410692751327,0.002466849897220302,0.0020904571474667844,0.0015,0.0,-0.002,0.0,0.014084717737438414,0.0
base_case,2028,China,18104.16155397726,0.029815376493207733,0.023918089611867734,0.01610926968063777,0.0002880172007022175,0.0025,-0.009999999999999998,-0.003,0.0,0.029815376493207733,0.0
base_case,2028,United States,2008.4855866450423,0.01202543694421944,0.0074248927060021515,0.005153344329329901,0.0009471999088873861,0.002,0.0,-0.0035,0.0,0.01202543694421944,0.0
base_case,2028,European Union,3433.5442828407067,0.01132119775627292,0.008371743455100934,0.004203386510807583,0.0002460677903644015,0.002,0.0,-0.0035,0.0,0.01132119775627292,0.0
base_case,2028,Rest of World,6653.18735259553,0.014084717737438414,0.010027410692751327,0.002466849897220302,0.0020904571474667844,0.0015,0.0,-0.002,0.0,0.014084717737438414,0.0
base_case,2029,China,18598.683542918006,0.027315376493207727,0.023918089611867734,0.01610926968063777,0.0002880172007022175,0.0025,-0.0125,-0.003,0.0,0.027315376493207727,0.0
base_case,2029,United States,2032.6385034206157,0.01202543694421944,0.0074248927060021515,0.005153344329329901,0.0009471999088873861,0.002,0.0,-0.0035,0.0,0.01202543694421944,0.0
base_case,2029,European Union,3472.4161166716663,0.01132119775627292,0.008371743455100934,0.004203386510807583,0.0002460677903644015,0.002,0.0,-0.0035,0.0,0.01132119775627292,0.0
base_case,2029,Rest of World,6746.895618511133,0.014084717737438414,0.010027410692751327,0.002466849897220302,0.0020904571474667844,0.0015,0.0,-0.002,0.0,0.014084717737438414,0.0
base_case,2030,China,19060.216877313545,0.024815376493207728,0.023918089611867734,0.01610926968063777,0.0002880172007022175,0.0025,-0.015,-0.003,0.0,0.024815376493207728,0.0
base_case,2030,United States,2057.081869573893,0.01202543694421944,0.0074248927060021515,0.005153344329329901,0.0009471999088873861,0.002,0.0,-0.0035,0.0,0.01202543694421944,0.0
base_case,2030,European Union,3511.728026220575,0.01132119775627292,0.008371743455100934,0.004203386510807583,0.0002460677903644015,0.002,0.0,-0.0035,0.0,0.01132119775627292,0.0
base_case,2030,Rest of World,6841.923738901822,0.014084717737438414,0.010027410692751327,0.002466849897220302,0.0020904571474667844,0.0015,0.0,-0.002,0.0,0.014084717737438414,0.0
base_case,2031,China,19533.203335166272,0.024815376493207728,0.023918089611867734,0.01610926968063777,0.0002880172007022175,0.0025,-0.015,-0.003,0.0,0.024815376493207728,0.0
base_case,2031,United States,2081.8191778855507,0.01202543694421944,0.0074248927060021515,0.005153344329329901,0.0009471999088873861,0.002,0.0,-0.0035,0.0,0.01202543694421944,0.0
base_case,2031,European Union,3551.4849936716637,0.01132119775627292,0.008371743455100934,0.004203386510807583,0.0002460677903644015,0.002,0.0,-0.0035,0.0,0.01132119775627292,0.0
base_case,2031,Rest of World,6938.290303545333,0.014084717737438414,0.010027410692751327,0.002466849897220302,0.0020904571474667844,0.0015,0.0,-0.002,0.0,0.014084717737438414,0.0
base_case,2032,China,20017.927130046806,0.024815376493207728,0.023918089611867734,0.01610926968063777,0.0002880172007022175,0.0025,-0.015,-0.003,0.0,0.024815376493207728,0.0
base_case,2032,United States,2106.85396313848,0.01202543694421944,0.0074248927060021515,0.005153344329329901,0.0009471999088873861,0.002,0.0,-0.0035,0.0,0.01202543694421944,0.0
base_case,2032,European Union,3591.6920576134557,0.01132119775627292,0.008371743455100934,0.004203386510807583,0.0002460677903644015,0.002,0.0,-0.0035,0.0,0.01132119775627292,0.0
base_case,2032,Rest of World,7036.014164051175,0.014084717737438414,0.010027410692751327,0.002466849897220302,0.0020904571474667844,0.0015,0.0,-0.002,0.0,0.014084717737438414,0.0
base_case,2033,China,20514.679528392517,0.024815376493207728,0.023918089611867734,0.01610926968063777,0.0002880172007022175,0.0025,-0.015,-0.003,0.0,0.024815376493207728,0.0
base_case,2033,United States,2132.1898026228805,0.01202543694421944,0.0074248927060021515,0.005153344329329901,0.0009471999088873861,0.002,0.0,-0.0035,0.0,0.01202543694421944,0.0
base_case,2033,European Union,3632.3543136773324,0.01132119775627292,0.008371743455100934,0.004203386510807583,0.0002460677903644015,0.002,0.0,-0.0035,0.0,0.01132119775627292,0.0
base_case,2033,Rest of World,7135.114437548454,0.014084717737438414,0.010027410692751327,0.002466849897220302,0.0020904571474667844,0.0015,0.0,-0.002,0.0,0.014084717737438414,0.0
base_case,2034,China,21023.75902452708,0.024815376493207728,0.023918089611867734,0.01610926968063777,0.0002880172007022175,0.0025,-0.015,-0.003,0.0,0.024815376493207728,0.0
base_case,2034,United States,2157.8303166474298,0.01202543694421944,0.0074248927060021515,0.005153344329329901,0.0009471999088873861,0.002,0.0,-0.0035,0.0,0.01202543694421944,0.0
base_case,2034,European Union,3673.4769151833243,0.01132119775627292,0.008371743455100934,0.004203386510807583,0.0002460677903644015,0.002,0.0,-0.0035,0.0,0.01132119775627292,0.0
base_case,2034,Rest of World,7235.610510425645,0.014084717737438414,0.010027410692751327,0.002466849897220302,0.0020904571474667844,0.0015,0.0,-0.002,0.0,0.014084717737438414,0.0
base_case,2035,China,21545.471520023195,0.024815376493207728,0.023918089611867734,0.01610926968063777,0.0002880172007022175,0.0025,-0.015,-0.003,0.0,0.024815376493207728,0.0
base_case,2035,United States,2183.7791690565987,0.01202543694421944,0.0074248927060021515,0.005153344329329901,0.0009471999088873861,0.002,0.0,-0.0035,0.0,0.01202543694421944,0.0
base_case,2035,European Union,3715.065073793218,0.01132119775627292,0.008371743455100934,0.004203386510807583,0.0002460677903644015,0.002,0.0,-0.0035,0.0,0.01132119775627292,0.0
base_case,2035,Rest of World,7337.522042123032,0.014084717737438414,0.010027410692751327,0.002466849897220302,0.0020904571474667844,0.0015,0.0,-0.002,0.0,0.014084717737438414,0.0
